13/06/2018 13:39:39 - XmlCfg: Field 'idDFe' not found
13/06/2018 19:15:49 - Nenhuma XML de NFe consultada!
13/06/2018 19:19:52 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:19:55 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:19:56 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:19:57 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:02 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:03 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:05 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:06 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:07 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:10 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:12 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:13 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:15 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:16 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:17 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:18 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:22 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:24 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:25 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:26 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:28 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:29 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:30 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:32 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:34 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:35 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:36 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:38 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:39 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:43 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:45 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:46 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:46 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:48 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:50 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:51 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:52 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:53 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:54 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:55 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:57 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:20:58 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:00 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:01 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:02 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:03 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:05 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:06 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:07 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:08 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:09 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:10 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:11 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:13 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:14 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:15 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:17 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:18 - qXmlNfe: Cursor not returned from Query
13/06/2018 19:21:19 - qXmlNfe: Cursor not returned from Query
